Training Batch Size,Training Learning Rate,Test Loss,Test Accuracy,Test F1-Score,Test Precision,Test Recall
16,1e-05,0.2472776174545288,0.9203979969024658,0.8619022965431213,0.8907204270362854,0.8511905074119568
16,2e-05,0.26758280396461487,0.9203979969024658,0.8646542429924011,0.8925519585609436,0.8561049699783325
16,3e-05,0.39624106884002686,0.9054726362228394,0.8415772914886475,0.8540903925895691,0.8561049699783325
32,1e-05,0.22092798352241516,0.9353233575820923,0.9148470759391785,0.9335600733757019,0.9023060202598572
32,2e-05,0.22681237757205963,0.9004974961280823,0.8728847503662109,0.8551948666572571,0.9023060202598572
32,3e-05,0.35793864727020264,0.9104477763175964,0.8876757025718689,0.8822511434555054,0.9023060202598572
