Training Batch Size,Training Learning Rate,Test Loss,Test Accuracy,Test F1-Score,Test Precision,Test Recall
16,5e-05,0.2247951328754425,0.9104477763175964,0.8528640270233154,0.83687424659729,0.8885836005210876
16,3e-05,0.26077941060066223,0.89552241563797,0.828597366809845,0.8050976991653442,0.8789682388305664
16,2e-05,0.2480827271938324,0.9154228568077087,0.8625063300132751,0.8506104946136475,0.8992674350738525
32,5e-05,0.2727906405925751,0.9104477763175964,0.8852686285972595,0.8753968477249146,0.9023060202598572
32,3e-05,0.22008514404296875,0.9203979969024658,0.8981615900993347,0.887518048286438,0.9132950901985168
32,2e-05,0.1935625672340393,0.9253731369972229,0.9016408920288086,0.8952983617782593,0.9142107963562012
